ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
鹏都农牧,2023-04-26,星期三,1.55,2023-07-27,星期四,3.09,99.0,92.0,1.08,bull
五粮液,2023-10-30,星期一,148.96,2024-01-29,星期一,236.23,59.0,91.0,0.65,bull
模塑科技,2023-04-26,星期三,4.24,2023-08-23,星期三,7.48,76.0,119.0,0.64,bull
洛阳钼业,2023-10-24,星期二,4.07,2024-02-20,星期二,6.3,55.0,119.0,0.46,bull
永泰能源,2023-04-26,星期三,1.22,2023-07-17,星期一,1.62,33.0,82.0,0.4,bull
中国长城,2023-04-26,星期三,7.58,2024-02-15,星期四,14.26,88.0,295.0,0.3,bull
高鸿股份,2023-04-26,星期三,3.82,2024-02-06,星期二,7.01,84.0,286.0,0.29,bull
奥马电器,2023-04-26,星期三,5.17,2024-02-15,星期四,8.2,59.0,295.0,0.2,bull
新钢股份,2023-10-30,星期一,2.01,2023-04-13,星期四,5.12,155.0,134.0,1.16,bear
三友化工,2023-10-30,星期一,3.78,2023-03-06,星期一,7.48,98.0,96.0,1.02,bear
云铝股份,2023-09-27,星期三,8.06,2023-03-06,星期一,15.51,92.0,129.0,0.71,bear
养元饮品,2023-10-11,星期三,13.29,2023-02-23,星期四,21.85,64.0,104.0,0.62,bear
海航科技,2023-10-10,星期二,1.87,2023-03-10,星期五,2.98,59.0,120.0,0.49,bear
山东钢铁,2023-10-30,星期一,1.16,2023-03-03,星期五,1.61,39.0,93.0,0.42,bear
雅化集团,2023-04-25,星期二,12.72,2023-03-02,星期四,24.65,94.0,280.0,0.34,bear
交通银行,2023-10-30,星期一,4.49,2023-04-12,星期三,5.25,17.0,133.0,0.13,bear
农业银行,2023-11-01,星期三,2.64,2023-04-05,星期三,3.04,15.0,124.0,0.12,bear
中国银行,2023-11-01,星期三,3.1,2023-07-11,星期二,3.45,11.0,221.0,0.05,bear
交通银行,2023-11-01,星期三,4.49,,,,,,,
农业银行,,,,2023-04-06,星期四,3.04,,,,
中国银行,2023-11-02,星期四,3.1,,,,,,,
三友化工,2023-10-31,星期二,3.78,,,,,,,
山东钢铁,,,,2023-03-06,星期一,1.61,,,,
