ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
五粮液,2023-10-30,星期一,113.39,2024-01-29,星期一,201.27,78.0,91.0,0.86,bull
高鸿股份,2023-10-09,星期一,4.31,2024-03-25,星期一,7.2,67.0,168.0,0.4,bull
兴业银行,2023-10-30,星期一,13.14,2024-01-15,星期一,16.55,26.0,77.0,0.34,bull
洛阳钼业,2023-10-24,星期二,4.45,2024-04-17,星期三,7.14,60.0,176.0,0.34,bull
海航科技,2023-10-10,星期二,2.19,2024-02-16,星期五,3.02,38.0,129.0,0.29,bull
云铝股份,2023-09-27,星期三,12.57,2024-04-15,星期一,20.03,59.0,201.0,0.29,bull
中国建筑,2023-11-02,星期四,5.06,2024-05-07,星期二,7.69,52.0,187.0,0.28,bull
中信银行,2023-08-02,星期三,5.3,2024-05-07,星期二,9.4,77.0,279.0,0.28,bull
奥马电器,2023-12-28,星期四,8.06,2024-07-12,星期五,12.42,54.0,197.0,0.27,bull
中国银行,2023-11-01,星期三,3.64,2024-05-07,星期二,5.43,49.0,188.0,0.26,bull
养元饮品,2023-10-11,星期三,22.12,2024-05-14,星期二,32.15,45.0,216.0,0.21,bull
农业银行,2023-11-01,星期三,3.26,2024-05-07,星期二,4.53,39.0,188.0,0.21,bull
交通银行,2023-10-30,星期一,5.37,2024-05-06,星期一,7.43,38.0,189.0,0.2,bull
建设银行,2023-11-01,星期三,5.48,2024-05-07,星期二,7.56,38.0,188.0,0.2,bull
光大银行,2023-10-30,星期一,2.74,2024-05-07,星期二,3.75,37.0,190.0,0.19,bull
华夏银行,2023-10-27,星期五,5.15,2024-05-07,星期二,6.89,34.0,193.0,0.18,bull
北京银行,2023-10-30,星期一,4.43,2024-05-07,星期二,5.56,26.0,190.0,0.14,bull
上海银行,2023-10-30,星期一,5.48,2024-05-07,星期二,6.64,21.0,190.0,0.11,bull
江苏银行,2023-08-17,星期四,6.6,2024-04-26,星期五,7.7,17.0,253.0,0.07,bull
永泰能源,2024-06-13,星期四,1.0,2023-08-22,星期二,1.48,48.0,39.0,1.23,bear
模塑科技,2023-10-09,星期一,4.73,2023-08-23,星期三,6.83,44.0,287.0,0.15,bear
雅化集团,2024-06-27,星期四,4.82,2023-07-20,星期四,17.9,271.0,-8.0,-33.88,bear
江苏银行,2023-08-18,星期五,6.6,,,,,,,
江苏银行,2023-11-02,星期四,6.6,,,,,,,
江苏银行,2023-11-09,星期四,6.6,,,,,,,
华夏银行,2023-10-30,星期一,5.15,,,,,,,
交通银行,2023-11-01,星期三,5.37,,,,,,,
北京银行,2023-10-31,星期二,4.43,,,,,,,
中国银行,2023-11-02,星期四,3.64,,,,,,,
中信银行,2023-08-03,星期四,5.3,,,,,,,
永泰能源,,,,2023-08-23,星期三,1.48,,,,
永泰能源,,,,2023-09-07,星期四,1.48,,,,
光大银行,2023-10-31,星期二,2.74,,,,,,,
