ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
雅化集团,2023-01-27,星期五,20.23,2023-02-27,星期一,34.76,72.0,31.0,2.32,bull
五粮液,2023-10-30,星期一,94.59,2023-01-05,星期四,189.51,100.0,36.0,2.78,bear
养元饮品,2023-10-11,星期三,11.26,2022-12-30,星期五,22.4,99.0,49.0,2.02,bear
三友化工,2023-10-30,星期一,3.68,2023-03-02,星期四,7.58,106.0,92.0,1.15,bear
山东钢铁,2023-10-30,星期一,1.12,2023-01-06,星期五,1.58,41.0,37.0,1.11,bear
新钢股份,2023-10-30,星期一,2.28,2023-04-13,星期四,5.35,135.0,134.0,1.01,bear
中国长城,2023-04-26,星期三,3.78,2023-01-17,星期二,11.86,214.0,235.0,0.91,bear
鹏都农牧,2023-04-26,星期三,0.99,2023-01-16,星期一,2.7,173.0,234.0,0.74,bear
云铝股份,2023-09-27,星期三,8.75,2023-03-06,星期一,16.5,89.0,129.0,0.69,bear
洛阳钼业,2023-10-24,星期二,3.09,2023-06-21,星期三,5.34,73.0,209.0,0.35,bear
交通银行,2023-10-30,星期一,4.61,2023-04-12,星期三,5.38,17.0,133.0,0.13,bear
农业银行,2023-11-01,星期三,2.66,2023-04-05,星期三,3.09,16.0,124.0,0.13,bear
永泰能源,2023-04-26,星期三,1.17,2023-02-22,星期三,1.58,35.0,271.0,0.13,bear
中国银行,2023-11-01,星期三,3.11,2023-07-11,星期二,3.46,11.0,221.0,0.05,bear
交通银行,2023-11-01,星期三,4.61,,,,,,,
农业银行,,,,2023-04-06,星期四,3.09,,,,
中国银行,2023-11-02,星期四,3.11,,,,,,,
三友化工,2023-10-31,星期二,3.68,,,,,,,
永泰能源,,,,2023-03-02,星期四,1.58,,,,
永泰能源,,,,2023-07-17,星期一,1.58,,,,
