ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
雅化集团,2023-02-07,星期二,22.66,2023-02-27,星期一,37.88,67.0,20.0,3.35,bull
鹏都农牧,2023-04-26,星期三,2.21,2023-07-27,星期四,3.82,73.0,92.0,0.79,bull
五粮液,2023-10-30,星期一,132.33,2023-01-30,星期一,219.89,66.0,61.0,1.08,bear
三友化工,2023-10-30,星期一,5.68,2023-03-02,星期四,9.7,71.0,92.0,0.77,bear
新钢股份,2023-10-30,星期一,3.51,2023-04-13,星期四,6.75,92.0,134.0,0.69,bear
云铝股份,2023-09-27,星期三,8.9,2023-03-06,星期一,16.66,87.0,129.0,0.67,bear
养元饮品,2023-10-11,星期三,17.9,2023-02-20,星期一,26.93,50.0,101.0,0.5,bear
山东钢铁,2023-10-30,星期一,1.41,2023-02-08,星期三,1.89,34.0,70.0,0.49,bear
中国长城,2023-04-26,星期三,7.8,2023-02-20,星期一,13.99,79.0,269.0,0.29,bear
洛阳钼业,2023-10-24,星期二,4.05,2023-06-21,星期三,6.27,55.0,209.0,0.26,bear
交通银行,2023-10-30,星期一,4.44,2023-04-12,星期三,5.22,18.0,133.0,0.14,bear
农业银行,2023-11-01,星期三,2.7,2023-04-05,星期三,3.11,15.0,124.0,0.12,bear
永泰能源,2023-04-26,星期三,1.44,2023-02-22,星期三,1.86,29.0,271.0,0.11,bear
中国银行,2023-11-01,星期三,2.99,2023-07-11,星期二,3.35,12.0,221.0,0.05,bear
交通银行,2023-11-01,星期三,4.44,,,,,,,
农业银行,,,,2023-04-06,星期四,3.11,,,,
中国银行,2023-11-02,星期四,2.99,,,,,,,
三友化工,2023-10-31,星期二,5.68,,,,,,,
山东钢铁,,,,2023-02-09,星期四,1.89,,,,
山东钢铁,,,,2023-02-10,星期五,1.89,,,,
山东钢铁,,,,2023-03-02,星期四,1.89,,,,
永泰能源,,,,2023-03-02,星期四,1.86,,,,
永泰能源,,,,2023-07-17,星期一,1.86,,,,
