ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
五粮液,2023-10-30,星期一,110.33,2024-01-29,星期一,194.1,76.0,91.0,0.84,bull
洛阳钼业,2023-10-24,星期二,3.67,2024-04-17,星期三,6.27,71.0,176.0,0.4,bull
高鸿股份,2023-10-09,星期一,4.89,2024-03-25,星期一,7.93,62.0,168.0,0.37,bull
海航科技,2023-10-10,星期二,1.86,2024-02-16,星期五,2.67,44.0,129.0,0.34,bull
云铝股份,2023-09-27,星期三,11.38,2024-04-15,星期一,18.56,63.0,201.0,0.31,bull
中国建筑,2023-11-02,星期四,4.94,2024-05-07,星期二,7.73,56.0,187.0,0.3,bull
中国银行,2023-11-01,星期三,3.51,2024-05-07,星期二,5.38,53.0,188.0,0.28,bull
中信银行,2023-08-02,星期三,5.38,2024-05-07,星期二,9.51,77.0,279.0,0.28,bull
养元饮品,2023-10-11,星期三,20.18,2024-05-14,星期二,30.11,49.0,216.0,0.23,bull
交通银行,2023-10-30,星期一,5.12,2024-05-06,星期一,7.26,42.0,189.0,0.22,bull
农业银行,2023-11-01,星期三,3.16,2024-05-07,星期二,4.48,42.0,188.0,0.22,bull
建设银行,2023-11-01,星期三,5.32,2024-05-07,星期二,7.48,41.0,188.0,0.22,bull
光大银行,2023-10-30,星期一,2.52,2024-05-07,星期二,3.54,40.0,190.0,0.21,bull
华夏银行,2023-10-27,星期五,4.91,2024-05-07,星期二,6.72,37.0,193.0,0.19,bull
北京银行,2023-10-30,星期一,4.02,2024-05-07,星期二,5.2,29.0,190.0,0.15,bull
奥马电器,2023-06-19,星期一,8.17,2024-06-14,星期五,12.2,49.0,361.0,0.14,bull
上海银行,2023-10-30,星期一,5.08,2024-05-07,星期二,6.26,23.0,190.0,0.12,bull
江苏银行,2023-06-26,星期一,7.2,2024-04-26,星期五,8.45,17.0,305.0,0.06,bull
永泰能源,2024-06-13,星期四,1.11,2023-07-17,星期一,1.66,50.0,3.0,16.67,bear
兴业银行,2023-10-30,星期一,11.3,2023-06-29,星期四,16.29,44.0,211.0,0.21,bear
模塑科技,2023-10-09,星期一,4.32,2023-08-23,星期三,6.25,45.0,287.0,0.16,bear
雅化集团,2024-06-13,星期四,4.14,2023-07-07,星期五,20.18,387.0,-7.0,-55.29,bear
华夏银行,2023-10-30,星期一,4.91,,,,,,,
交通银行,2023-11-01,星期三,5.12,,,,,,,
北京银行,2023-10-31,星期二,4.02,,,,,,,
中国银行,2023-11-02,星期四,3.51,,,,,,,
中信银行,2023-08-03,星期四,5.38,,,,,,,
光大银行,2023-10-31,星期二,2.52,,,,,,,
