ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
雅化集团,2023-01-27,星期五,22.62,2023-02-27,星期一,37.8,67.0,31.0,2.16,bull
养元饮品,2023-10-11,星期三,7.59,2022-11-22,星期二,21.08,178.0,11.0,16.18,bear
五粮液,2023-10-30,星期一,75.76,2022-12-12,星期一,201.04,165.0,12.0,13.75,bear
山东钢铁,2023-10-30,星期一,1.24,2022-12-16,星期五,1.74,40.0,16.0,2.5,bear
新钢股份,2023-10-30,星期一,2.17,2023-04-13,星期四,5.25,142.0,134.0,1.06,bear
中国长城,2023-04-26,星期三,4.45,2023-01-17,星期二,13.0,192.0,235.0,0.82,bear
云铝股份,2023-09-27,星期三,8.61,2023-03-06,星期一,16.03,86.0,129.0,0.67,bear
鹏都农牧,2023-04-26,星期三,1.91,2022-12-22,星期四,4.12,116.0,209.0,0.56,bear
洛阳钼业,2023-10-24,星期二,3.17,2023-06-21,星期三,5.34,68.0,209.0,0.33,bear
永泰能源,2023-04-26,星期三,1.41,2022-12-20,星期二,1.94,38.0,207.0,0.18,bear
交通银行,2023-10-30,星期一,4.36,2023-04-12,星期三,5.15,18.0,133.0,0.14,bear
农业银行,2023-11-01,星期三,2.54,2023-04-05,星期三,2.96,17.0,124.0,0.14,bear
中国银行,2023-11-01,星期三,2.98,2023-07-11,星期二,3.35,12.0,221.0,0.05,bear
三友化工,2023-10-30,星期一,3.28,2022-11-21,星期一,7.53,130.0,-9.0,-14.44,bear
交通银行,2023-11-01,星期三,4.36,,,,,,,
农业银行,,,,2023-04-06,星期四,2.96,,,,
中国银行,2023-11-02,星期四,2.98,,,,,,,
三友化工,2023-10-31,星期二,3.28,,,,,,,
