ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
雅化集团,2022-06-29,星期三,30.88,2022-09-13,星期二,56.67,84.0,76.0,1.11,bull
永泰能源,2022-07-01,星期五,1.58,2022-09-09,星期五,2.52,59.0,70.0,0.84,bull
鹏都农牧,2022-07-04,星期一,3.35,2022-12-22,星期四,5.81,73.0,171.0,0.43,bull
五粮液,2023-03-28,星期二,61.91,2022-06-30,星期四,205.0,231.0,63.0,3.67,bear
中国长城,2023-04-26,星期三,4.56,2022-08-08,星期一,15.14,232.0,73.0,3.18,bear
三友化工,2023-04-26,星期三,4.72,2022-09-09,星期五,15.19,222.0,105.0,2.11,bear
云铝股份,2023-04-26,星期三,7.73,2022-09-15,星期四,22.1,186.0,111.0,1.68,bear
新钢股份,2023-03-15,星期三,4.44,2022-09-09,星期五,10.17,129.0,147.0,0.88,bear
洛阳钼业,2023-04-26,星期三,4.8,2022-09-12,星期一,9.19,91.0,108.0,0.84,bear
山东钢铁,2023-04-26,星期三,1.49,2022-09-08,星期四,2.63,77.0,104.0,0.74,bear
五粮液,,,,2022-07-01,星期五,205.0,,,,
山东钢铁,,,,2022-09-15,星期四,2.63,,,,
永泰能源,2022-07-04,星期一,1.58,,,,,,,
