ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
洛阳钼业,2022-06-17,星期五,4.4,2022-09-12,星期一,8.15,85,87,0.98,bull
中国长城,2022-05-09,星期一,9.59,2022-08-08,星期一,16.52,72,91,0.79,bull
雅化集团,2022-01-28,星期五,22.64,2022-09-13,星期二,55.28,144,228,0.63,bull
大北农,2022-06-22,星期三,6.74,2022-11-14,星期一,12.12,79,145,0.54,bull
鹏都农牧,2022-06-17,星期五,2.78,2022-12-22,星期四,5.25,88,188,0.47,bull
晨光文具,2022-12-02,星期五,15.56,2022-01-05,星期三,64.91,317,3,105.67,bear
格力电器,2022-11-09,星期三,6.02,2022-01-10,星期一,41.11,582,31,18.77,bear
芒果超媒,2022-10-12,星期三,5.77,2022-01-04,星期二,59.8,936,53,17.66,bear
分众传媒,2022-10-27,星期四,3.11,2022-01-05,星期三,8.75,181,39,4.64,bear
五粮液,2022-09-15,星期四,85.28,2022-01-05,星期三,227.28,166,81,2.05,bear
双汇发展,2022-08-30,星期二,12.81,2022-01-05,星期三,33.9,164,97,1.69,bear
三友化工,2022-11-09,星期三,5.56,2022-09-09,星期五,13.6,144,273,0.53,bear
太阳纸业,2022-07-27,星期三,7.73,2022-03-03,星期四,12.74,64,188,0.34,bear
