ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
五粮液,2023-10-30,星期一,145.64,2024-01-29,星期一,234.52,61.0,91.0,0.67,bull
模塑科技,2023-05-10,星期三,4.84,2023-08-23,星期三,7.11,47.0,105.0,0.45,bull
洛阳钼业,2023-10-24,星期二,4.91,2024-04-17,星期三,8.03,64.0,176.0,0.36,bull
高鸿股份,2023-10-09,星期一,5.21,2024-03-25,星期一,8.17,57.0,168.0,0.34,bull
云铝股份,2023-09-27,星期三,11.37,2024-04-15,星期一,18.89,66.0,201.0,0.33,bull
海航科技,2023-10-10,星期二,2.19,2024-02-16,星期五,2.98,36.0,129.0,0.28,bull
中国建筑,2023-11-02,星期四,5.47,2024-05-03,星期五,7.94,45.0,183.0,0.25,bull
农业银行,2023-11-01,星期三,3.2,2024-05-03,星期五,4.27,33.0,184.0,0.18,bull
中国银行,2023-11-01,星期三,3.9,2024-05-03,星期五,5.17,33.0,184.0,0.18,bull
建设银行,2023-11-01,星期三,5.62,2024-05-03,星期五,7.37,31.0,184.0,0.17,bull
中信银行,2023-08-02,星期三,6.69,2024-05-03,星期五,9.75,46.0,275.0,0.17,bull
交通银行,2023-10-30,星期一,5.35,2024-05-03,星期五,7.04,32.0,186.0,0.17,bull
奥马电器,2023-05-10,星期三,7.03,2024-04-22,星期一,11.05,57.0,348.0,0.16,bull
雅化集团,2024-05-03,星期五,10.03,2023-07-07,星期五,26.67,166.0,34.0,4.88,bear
司尔特,2024-04-23,星期二,6.58,2023-07-04,星期二,11.58,76.0,41.0,1.85,bear
永泰能源,2024-04-24,星期三,1.48,2023-07-17,星期一,1.85,25.0,53.0,0.47,bear
光大银行,2023-10-30,星期一,2.92,2023-05-09,星期二,3.72,27.0,160.0,0.17,bear
中国银行,2023-11-02,星期四,3.9,,,,,,,
中信银行,2023-08-03,星期四,6.69,,,,,,,
交通银行,2023-11-01,星期三,5.35,,,,,,,
光大银行,2023-10-31,星期二,2.92,,,,,,,
司尔特,2024-05-03,星期五,6.58,,,,,,,
